job_id,sort_order,city,district
2f321b67b88c01d5,3,Thừa Thiên Huế,TP Huế
957de34e28f87100,0,Hồ Chí Minh,Quận 9
957de34e28f87100,1,Hà Nội,Cầu Giấy
957de34e28f87100,2,Đà Nẵng,Ngũ Hành Sơn
957de34e28f87100,3,Thừa Thiên Huế,TP Huế
302c86a76a594b2d,0,Hồ Chí Minh,Quận 3
f6c629399aea0b55,0,Hồ Chí Minh,Quận 3
8ce936e531fed615,0,Hồ Chí Minh,Quận 9
8ce936e531fed615,1,Hà Nội,Cầu Giấy
8ce936e531fed615,2,Đà Nẵng,Ngũ Hành Sơn
8ce936e531fed615,3,Thừa Thiên Huế,TP Huế
e6bc0ef80fe898db,0,Hồ Chí Minh,Quận 9
df7e2dc9df7522b6,0,Hà Nội,Đống Đa
e0126fbb3d9fd4c9,0,Hồ Chí Minh,Quận 3
852e88b279ddc55a,0,Hà Nội,Cầu Giấy
bf53f19a800e4680,0,Hà Nội,
156b058ef93e0695,0,Hà Nội,Cầu Giấy
c7f00c56d678d850,0,Hà Nội,Cầu Giấy
978fa7dccb63d058,0,Nghệ An,TP Vinh
da6405b4cf4da95a,0,Hà Nội,Đống Đa
fd17caab986f92e3,0,Hồ Chí Minh,Quận 3
41c1f7a499b9c674,0,Hà Nội,
71e652e67f44a512,0,Hà Nội,Cầu Giấy
6c8f2e3e264ac54a,0,Hà Nội,Thanh Xuân
1ed5f89b2a26b9f1,0,Hà Nội,Nam Từ Liêm
cb85d5a2d4e7e196,0,Hà Nội,
c7e3b8fee9db4373,0,Hà Nội,
8491ec59e7681cb1,0,Hà Nội,Thanh Xuân
2158d08f89b96967,0,Hà Nội,Nam Từ Liêm
54a21ceea6071158,0,Hà Nội,Cầu Giấy
55452a598de783f6,0,Hà Nội,Cầu Giấy
3e9ebe980936f396,0,Hồ Chí Minh,Gò Vấp
643e0c9930c82772,0,Hồ Chí Minh,Gò Vấp
568f9badd4c479ac,0,Hồ Chí Minh,Phú Nhuận
7a3f464aa65104b4,0,Nước Ngoài,Hà Nội
7a3f464aa65104b4,1,Nam Từ Liêm,
5301f54c027daf55,0,Hà Nội,Cầu Giấy
adfb8b77dceed038,0,Hà Nội,Hồ Chí Minh
adfb8b77dceed038,1,Đà Nẵng,Thừa Thiên Huế
a245b66eb8ab9890,0,Hà Nội,Hồ Chí Minh
a245b66eb8ab9890,1,Thừa Thiên Huế,Đà Nẵng
d51390064974e71a,0,Hà Nội,
7bf62188f0c9bf4d,0,Hà Nội,Đống Đa
aaa07d05177b94b0,0,Hà Nội,Thanh Xuân
f85dffb0bc179db3,0,Hà Nội,Thanh Xuân
8b5f412ad147ec10,0,Hà Nội,Đống Đa
57a6a461d98b5407,0,Hồ Chí Minh,Tân Bình
e8885e87a0c337df,0,Hồ Chí Minh,Quận 7
e7ba7f2a0b69f637,0,Hà Nội,Đống Đa
330c56336836b4af,0,Hà Nội,Thanh Xuân
efb8463792870a0d,0,Hà Nội,Nam Từ Liêm
b472e4483b80b0ec,0,Hà Nội,Nam Từ Liêm
a9a8eef6fe7a9082,0,Hà Nội,Cầu Giấy
4d9f977a6e29a463,0,Long An,Bến Lức
069bf929cbec8ba3,0,Hà Nội,Thanh Xuân
6cdcb423ffde7845,0,Hà Nội,
d815794a579e9a0e,0,Hà Nội,
5d68c9582f223ee0,0,Hà Nội,Long Biên
b2d0d083b011e6d9,0,Hà Nội,
0c9cabe5530a6db6,0,Hà Nội,Tây Hồ
9bf5eb65f682b345,0,Hà Nội,Tây Hồ
06db064c19104786,0,Hà Nội,Cầu Giấy
40df816e1e2ecc02,0,Hà Nội,Cầu Giấy
22c14d260f710350,0,Hà Nội,Thanh Xuân
5d19d60526b8246d,0,Nước Ngoài,Hà Nội
5d19d60526b8246d,1,Nam Từ Liêm,
05b2c47ed270efe2,0,Hà Nội,Chương Mỹ
2d965498a2287a2f,0,Hồ Chí Minh,
a397815574d1d0a9,0,Hồ Chí Minh,Quận 2
5ec87cd2f799712d,0,Hồ Chí Minh,Quận 4
4beb3fec9ba8ed07,0,Hà Nội,Nam Từ Liêm
a352a0c9b55ef11f,0,Hà Nội,Đống Đa
5255b37b044482fa,0,Hà Nội,Đống Đa
e41d59be61efce47,0,Hà Nội,Cầu Giấy
168da17448b080f2,0,Thừa Thiên Huế,TP Huế
168da17448b080f2,1,Hà Nội,Cầu Giấy
08503e8dd3513583,0,Hà Nội,Cầu Giấy
317e60daccd14853,0,Hà Nội,Đống Đa
8a3eaae7f00dfb6e,0,Hà Nội,Từ Liêm
dac5ecc37ff8d8ba,0,Hà Nội,Từ Liêm
8e4ba30eced91d00,0,Hà Nội,Đống Đa
6a1e43829c202f48,0,Hà Nội,Đống Đa
1a54e03e8f0abe37,0,Hồ Chí Minh,Quận 2
39004bcaf3ef7031,0,Hà Nội,Hai Bà Trưng
25af16e5c956cb0b,0,Hồ Chí Minh,Quận 1
a179f009d423d173,0,Hà Nội,Cầu Giấy
2c528af538bc911c,0,Hà Nội,Cầu Giấy
08491c33c0d36915,0,Hà Nội,Tây Hồ
65919c999d78bd10,0,Hồ Chí Minh,Bình Thạnh
12fb08d455ef9f97,0,Hà Nội,Thanh Xuân
a8e21d165c3c1919,0,Hà Nội,Thanh Xuân
b505c1fe28709e85,0,Hà Nội,Cầu Giấy
13a79483dcfadcf0,0,Hồ Chí Minh,Quận 3
416903271da62750,0,Hồ Chí Minh,Quận 12
f99db282ef0ba50e,0,Hồ Chí Minh,Gò Vấp
00ace62ebf6a476b,0,Đà Nẵng,Sơn Trà
0bb6432aeb866771,0,Hồ Chí Minh,Quận 7
4d04b78ba879b5e3,0,Hà Nội,Cầu Giấy
0ee0b1764857c9e8,0,Hà Nội,Thanh Xuân
c4c7592493f3e05a,0,Hà Nội,Cầu Giấy
b85dbef0c73f8533,0,Hà Nội,Nam Từ Liêm
